seed,violations,score
0,226,6895
1,263,7106
2,220,7244
3,229,7499
4,244,8469
5,199,8236
6,211,7501
7,227,8375
8,217,7968
9,237,8026
10,230,8192
11,232,8325
12,219,9045
13,222,8717
14,233,8920
15,255,8595
16,243,8851
17,238,8418
18,244,8712
19,235,8538
20,228,8846
21,246,8829
22,242,9656
23,236,8739
24,233,8597
25,232,9018
26,252,8965
27,254,9090
28,221,8616
29,219,9037
30,257,8600
31,248,8885
32,223,8410
33,227,8643
34,235,8313
35,231,8878
36,240,9336
37,253,8417
38,250,9266
39,215,9252
40,250,8727
41,259,8954
42,205,8832
43,222,8560
44,229,9119
45,224,9062
46,243,9073
47,237,9041
48,242,8959
49,232,8406
50,239,8977
51,242,9212
52,223,8854
53,266,8451
54,248,8853
55,226,9025
56,235,8260
57,229,9158
58,215,9089
59,250,9132
60,232,8834
61,234,9013
62,223,9094
63,233,9083
64,241,9219
65,241,8723
66,244,8393
67,234,8410
68,251,8716
69,250,9164
70,243,9166
71,238,8698
72,238,9455
73,220,8633
74,243,8645
75,233,9145
76,255,8483
77,231,8776
78,228,9330
79,231,9153
80,235,9110
81,251,9114
82,235,8498
83,254,9226
84,223,8870
85,256,8868
86,249,9436
87,222,8993
88,247,8607
89,254,8624
90,247,9112
91,228,8863
92,223,9322
93,258,9050
94,231,8982
95,233,8810
96,227,8775
97,233,8548
98,243,9304
99,231,9562
100,252,9483
101,234,8604
102,229,8985
103,242,9086
104,246,8541
105,238,9089
106,217,8807
107,251,8921
108,220,8909
109,229,8846
110,254,8714
111,248,9032
112,232,8999
113,216,8525
114,223,8659
115,250,8567
116,234,9234
117,224,8898
118,212,8890
119,258,8495
120,248,9544
121,234,9005
122,238,8340
123,233,8330
124,240,9028
125,217,9245
126,238,9451
127,235,9117
128,235,9385
129,230,9167
130,225,9660
131,225,8673
132,259,9106
133,236,8369
134,243,8504
135,241,9105
136,221,8848
137,232,8850
138,253,8380
139,224,9491
140,233,9255
141,236,8981
142,228,8776
143,224,8677
144,251,8998
145,230,8998
146,222,8504
147,234,9039
148,228,8727
149,232,8942
150,231,8863
151,245,9012
152,236,8660
153,231,8496
154,227,8436
155,260,8928
156,238,8272
157,244,9200
158,228,8770
159,257,8679
160,228,8860
161,267,9665
162,236,9613
163,255,8956
164,258,9078
165,255,8900
166,227,9371
167,243,9124
168,249,9088
169,222,9268
170,236,8872
171,237,8796
172,232,8727
173,231,8180
174,243,9055
175,232,9378
176,245,9228
177,261,9428
178,231,8440
179,255,8730
180,251,9281
181,240,8897
182,250,9384
183,248,8973
184,239,9197
185,216,8843
186,247,8947
187,243,8895
188,218,8648
189,240,8882
190,228,9632
191,231,8444
192,230,9340
193,233,8910
194,245,8525
195,234,8693
196,240,9009
197,214,9129
198,244,9177
199,257,8932
200,237,9233
201,230,8975
202,260,8477
203,224,9276
204,254,9019
205,227,8769
206,254,9238
207,225,9512
208,245,8150
209,250,8489
210,246,8818
211,246,8271
212,249,8728
213,248,8624
214,235,8501
215,227,8812
216,230,8905
217,240,9289
218,235,8651
219,240,8748
220,233,8803
221,236,9290
222,282,8996
223,245,9205
224,256,9012
225,231,9297
226,228,9175
227,242,8774
228,234,8715
229,227,9312
230,236,9138
231,222,8939
232,236,8885
233,244,8656
234,228,9047
235,231,8957
236,229,8589
237,219,9406
238,241,8886
239,239,9028
240,244,8453
241,235,9177
242,219,9221
243,222,8601
244,228,9129
245,251,9041
246,234,9094
247,267,9283
248,232,8702
249,265,9249
250,234,8673
251,222,8914
252,225,9030
253,253,9096
254,249,8849
255,250,8691
256,241,8980
257,250,9001
258,226,9485
259,223,8851
260,237,9037
261,248,9267
262,238,9131
263,211,8808
264,225,8784
265,242,9079
266,229,8543
267,255,8770
268,243,8954
269,256,8977
270,233,8918
271,218,8732
272,201,8592
273,230,9325
274,229,9076
275,257,8508
276,238,8624
277,225,8838
278,226,9006
279,246,8933
280,250,8536
281,236,8709
282,226,9008
283,246,8272
284,251,8574
285,229,8674
286,219,8602
287,214,8795
288,241,8845
289,249,8890
290,245,8643
291,259,8677
292,206,8921
293,247,8978
294,247,9070
295,246,8746
296,246,9515
297,236,8310
298,228,8654
299,223,8963
300,244,9098
301,231,8734
302,239,9222
303,226,9009
304,252,9166
305,245,8729
306,237,9035
307,232,8705
308,225,9189
309,248,9046
310,213,8973
311,228,9163
312,211,9364
313,228,8406
314,253,9329
315,223,8724
316,244,9405
317,229,9343
318,242,8339
319,255,8966
320,244,9067
321,247,9375
322,224,8670
323,223,8625
324,249,8736
325,247,8684
326,230,8691
327,257,9201
328,224,9273
329,235,9023
330,246,9078
331,240,9001
332,255,9425
333,223,9824
334,202,8977
335,235,9297
336,237,8219
337,256,8843
338,222,8956
339,240,8704
340,256,8895
341,240,9334
342,238,9354
343,241,8810
344,237,9409
345,228,9119
346,238,9035
347,231,9174
348,247,8726
349,234,8963
350,233,8448
351,228,8150
352,257,9039
353,257,9241
354,245,8486
355,237,8513
356,229,8973
357,237,8688
358,243,9004
359,240,8993
360,232,8990
361,265,8812
362,259,9167
363,240,8824
364,234,9238
365,243,8892
366,217,9215
367,239,9077
368,222,8416
369,232,9281
370,255,9052
371,234,8660
372,239,9102
373,247,8402
374,233,9238
375,244,8668
376,239,9160
377,233,9003
378,253,8991
379,242,8695
380,226,8336
381,222,8530
382,239,8601
383,241,8488
