seed,violations,score
0,2,1318
1,2,1136
2,0,1154
3,0,1335
4,3,1315
5,2,1028
6,2,1361
7,2,1822
8,3,1582
9,1,1648
10,3,1328
11,5,1528
12,1,891
13,0,1466
14,3,1314
15,3,1317
16,2,1461
17,0,1123
18,3,1548
19,8,1317
20,1,1427
21,2,1630
22,1,1262
23,3,1457
24,5,1213
25,5,1454
26,4,1248
27,3,915
28,3,1413
29,3,1170
30,5,1343
31,1,1075
32,6,1388
33,5,1110
34,2,1229
35,3,1439
36,3,1353
37,1,976
38,1,1517
39,0,1244
40,5,1445
41,4,1327
42,0,1167
43,4,1682
44,2,1256
45,2,1374
46,2,969
47,5,1595
48,2,1308
49,0,1338
50,1,1432
51,6,1194
52,2,1578
53,2,1528
54,2,1307
55,2,1331
56,0,1359
57,3,1415
58,1,1564
59,2,1266
60,1,917
61,3,1624
62,4,1212
63,3,1581
64,0,1663
65,5,1154
66,2,932
67,6,1256
68,1,1548
69,3,1352
70,1,1263
71,4,1356
72,0,1076
73,2,1367
74,2,1225
75,1,1174
76,0,1261
77,5,1479
78,3,1356
79,0,1221
80,0,1209
81,3,1411
82,5,1345
83,0,1187
84,10,1603
85,2,1086
86,0,1430
87,1,1466
88,7,1248
89,1,1160
90,3,1227
91,1,1084
92,2,1215
93,2,1098
94,3,1247
95,5,1676
96,3,1469
97,1,1504
98,3,1275
99,1,1107
100,3,1166
101,3,1308
102,0,1606
103,1,1349
104,2,1677
105,0,1255
106,1,1548
107,3,1458
108,4,1083
109,8,1214
110,1,1236
111,4,1202
112,1,1174
113,2,1324
114,2,1556
115,1,1293
116,2,1404
117,2,1005
118,1,1229
119,2,1470
120,1,1398
121,2,1186
122,3,1116
123,0,1538
124,2,1124
125,2,1356
126,1,1232
127,3,1172
128,4,1405
129,1,1330
130,3,1213
131,1,1058
132,1,1263
133,3,1322
134,1,1441
135,6,1399
136,2,1060
137,2,1298
138,2,1182
139,2,1204
140,0,1489
141,5,1560
142,2,1567
143,3,1217
144,4,1117
145,1,1113
146,0,1456
147,1,1390
148,3,1654
149,2,1098
150,2,1418
151,4,1331
152,4,1098
153,2,1241
154,3,1400
155,1,972
156,1,1447
157,5,1368
158,1,1148
159,3,1845
160,3,1441
161,0,1208
162,2,1343
163,6,1413
164,2,1223
165,3,1175
166,4,1806
167,3,1199
168,5,1415
169,1,1269
170,0,1361
171,1,1238
172,2,1322
173,4,1394
174,4,1561
175,0,1349
176,3,1352
177,1,1104
178,1,1190
179,3,1515
180,2,1356
181,2,1195
182,1,1113
183,2,1230
184,0,1321
185,5,1383
186,1,1259
187,2,1338
188,4,1000
189,3,1249
190,1,1028
191,4,1313
192,3,1557
193,1,1341
194,0,1284
195,2,1409
196,0,1250
197,1,1405
198,2,1334
199,5,1260
200,4,1537
201,7,1172
202,0,1397
203,4,1397
204,1,1229
205,3,1159
206,5,1314
207,7,1228
208,4,1334
209,2,1384
210,2,1479
211,4,1409
212,3,1138
213,1,1443
214,2,1450
215,3,1479
216,4,1068
217,1,1277
218,1,939
219,3,1488
220,3,1038
221,1,1567
222,5,1223
223,2,1349
224,2,1397
225,1,1488
226,0,1277
227,2,1655
228,2,1303
229,3,1249
230,1,1242
231,7,1118
232,1,1367
233,2,1162
234,0,1677
235,4,1206
236,3,1197
237,2,1314
238,2,1412
239,1,1030
240,5,1000
241,5,1460
242,3,1359
243,2,1128
244,3,1246
245,1,1633
246,2,1387
247,5,1182
248,2,1128
249,3,1308
250,2,1422
251,1,1714
252,1,1437
253,2,1070
254,6,1414
255,4,1066
256,0,1291
257,2,1527
258,3,1275
259,2,1515
260,3,1218
261,3,1302
262,4,1553
263,2,1230
264,0,1260
265,4,1503
266,3,1349
267,0,1264
268,5,1031
269,3,1166
270,1,1336
271,2,1198
272,3,1338
273,5,1301
274,4,1487
275,1,1155
276,3,1387
277,1,1235
278,2,1450
279,4,1326
280,3,1064
281,6,1107
282,3,1448
283,3,1376
284,7,1351
285,2,1327
286,4,1277
287,0,1294
288,9,1305
289,2,1526
290,6,1511
291,2,1387
292,1,1376
293,4,1389
294,2,1272
295,4,1237
296,2,1211
297,4,1354
298,1,1378
299,1,1438
300,5,1405
301,2,1530
302,1,906
303,4,1704
304,5,1219
305,1,1638
306,4,1140
307,4,1576
308,1,1191
309,3,1474
310,4,1232
311,3,1084
312,0,1146
313,4,994
314,4,1254
315,0,960
316,4,1113
317,2,1172
318,1,1302
319,2,1364
320,3,1280
321,0,1255
322,4,1237
323,5,1457
324,2,1316
325,3,1356
326,1,1420
327,5,1156
328,2,1490
329,3,1528
330,1,1400
331,1,1299
332,2,1483
333,1,1489
334,2,1297
335,3,1320
336,3,1181
337,2,1355
338,0,1319
339,5,1134
340,2,1051
341,3,1396
342,3,1088
343,1,1106
344,2,1476
345,4,1270
346,3,1114
347,4,1298
348,4,1085
349,3,1314
350,2,1230
351,4,1367
352,3,1267
353,1,1402
354,5,1378
355,0,1190
356,3,1035
357,2,1103
358,3,998
359,0,1238
360,4,1099
361,3,1355
362,2,1078
363,3,1290
364,1,1498
365,2,1778
366,4,1149
367,4,1871
368,2,1204
369,1,1332
370,5,1209
371,0,1524
372,2,1381
373,0,1454
374,2,1323
375,0,1383
376,1,1402
377,3,1388
378,3,1371
379,3,1354
380,2,1365
381,4,1449
382,3,1153
383,3,1431
384,2,1367
385,0,1031
386,5,1112
387,3,1408
388,1,1408
389,3,1128
390,2,1440
391,3,1246
392,1,1306
393,1,1178
394,2,1177
395,1,1135
396,1,1392
397,4,1288
398,4,1146
399,3,1399
400,3,1458
401,3,1424
402,8,1481
403,3,1551
404,1,1273
405,4,1365
406,3,1529
407,2,1258
408,3,932
409,4,1553
410,4,1223
411,2,1171
412,1,1446
413,2,1493
414,2,1405
415,1,1453
416,0,1430
417,3,1483
418,3,1454
419,1,1335
420,5,1702
421,2,1156
422,4,1292
423,3,1304
424,2,1326
425,6,1370
426,4,1295
427,4,1409
428,1,1162
429,3,1442
430,1,1348
431,6,1080
432,6,1256
433,3,1304
434,5,1295
435,2,1149
436,2,1643
437,4,1347
438,1,1287
439,1,1307
440,0,1489
441,6,1692
442,1,1205
443,1,1082
444,2,1519
445,2,1189
446,4,1592
447,0,1266
448,4,1168
449,2,1434
450,2,1393
451,3,1010
452,2,1718
453,3,1114
454,1,1678
455,4,1441
456,3,1232
457,2,1636
458,1,1065
459,3,1069
460,0,1599
461,2,1493
462,2,1383
463,3,1080
464,2,1404
465,1,1274
466,0,1024
467,6,1236
468,0,1290
469,1,1398
470,2,1348
471,1,1136
472,4,1209
473,0,1426
474,2,1239
475,2,1049
476,3,1273
477,1,1169
478,2,1476
479,2,1616
480,6,1682
481,5,1383
482,2,1540
483,1,1257
484,5,1501
485,4,1138
486,3,1336
487,1,1182
488,5,1409
489,3,1189
490,2,864
491,3,1473
492,5,1181
493,0,1377
494,2,1379
495,4,1434
496,4,1601
497,2,1359
498,2,1192
499,1,1316
500,3,1419
501,0,1669
502,2,1413
503,4,1352
504,5,1119
505,5,1243
506,2,1543
507,0,1578
508,3,1399
509,1,1339
510,1,1011
511,0,1310
512,1,1591
513,1,1123
514,2,1097
515,2,1537
516,1,1190
