dataset,solution,srs_start_violations,srs_final_violations,srs_start_score,srs_final_score,arrs_start_violations,arrs_final_violations,arrs_start_score,arrs_final_score
1,0,105,14,2516,341,41,0,2373,299
1,1,119,12,2384,268,51,0,2398,267
1,2,118,22,2518,588,52,0,2601,324
1,3,114,12,2193,211,66,0,2565,256
1,4,97,9,2314,175,61,0,2530,327
1,5,116,15,2423,470,56,0,2598,182
1,6,109,15,2720,573,49,0,2184,212
1,7,102,16,2420,386,61,0,2618,382
1,8,110,19,2300,161,54,0,2517,284
1,9,105,7,2546,179,57,0,2793,351
1,10,124,8,2323,253,53,0,2556,341
2,0,251,11,7943,1462,184,1,8546,1452
2,1,256,16,9427,1488,170,3,9372,1480
2,2,273,21,8328,1497,185,1,9337,1473
2,3,266,18,9570,1474,198,2,10130,1481
2,4,260,19,9217,1582,176,5,9228,1429
2,5,236,17,7361,1459,169,2,9892,1467
2,6,271,13,8613,1476,185,4,10120,1436
2,7,245,20,9818,1470,184,3,10624,1526
2,8,265,16,9025,1464,188,2,9004,1437
2,9,251,20,8272,1490,181,0,8510,1477
2,10,256,13,9425,1467,184,4,8811,1381
3,0,200,9,6355,1291,140,0,6533,1303
3,1,212,12,7513,1321,138,2,7360,1285
3,2,196,14,6154,1358,154,0,7593,1295
3,3,211,15,6692,1284,160,1,7709,1314
3,4,207,12,7531,1369,154,2,6844,1255
3,5,203,13,4860,1283,161,1,7772,1354
3,6,204,15,6890,1347,150,0,7424,1342
3,7,212,17,6415,1333,132,3,6984,1314
3,8,205,17,7527,1345,148,1,7206,1251
3,9,203,14,7305,1327,140,0,7683,1268
3,10,198,18,7198,1303,145,1,7646,1301
4,0,207,20,5236,1619,130,0,5170,1563
4,1,194,17,6452,1521,130,1,6343,1581
4,2,207,17,6196,1553,119,0,6697,1591
4,3,204,16,6601,1688,117,0,6685,1550
4,4,208,16,6442,1615,125,0,6538,1552
4,5,201,16,4893,1612,132,0,6507,1604
4,6,191,9,6163,1628,116,0,6812,1563
4,7,186,19,6719,1759,111,1,7134,1929
4,8,203,19,6658,1605,105,1,6253,1657
4,9,204,19,6398,1667,115,0,6634,1634
4,10,207,13,6918,1761,136,0,6284,1570
5,0,148,6,10005,2650,124,5,9969,3603
5,1,148,7,9909,2723,118,5,10108,3041
5,2,162,8,9354,1953,120,5,9527,3102
5,3,152,12,9400,3176,136,6,9852,2753
5,4,163,6,10292,2708,135,5,10524,3595
5,5,177,9,9836,2474,124,5,10351,3295
5,6,161,7,9605,2081,117,3,9868,2495
5,7,157,13,9794,2617,128,4,10042,2949
5,8,157,7,10447,3582,142,7,9575,2347
5,9,134,6,10374,3554,145,6,10356,2955
5,10,151,11,9667,3089,125,7,10014,2580
6,0,318,14,7117,2092,214,0,7123,2080
6,1,308,20,8007,2133,195,3,8800,2057
6,2,312,24,8614,2065,210,1,9471,2020
6,3,327,21,9208,2080,203,1,8597,2070
6,4,316,20,8313,2052,190,1,8576,2057
6,5,305,23,7150,2085,193,1,8741,2054
6,6,300,20,8559,2051,193,1,8663,2057
6,7,323,18,8039,2111,165,1,8713,2082
6,8,321,21,9098,2087,183,1,8910,2030
6,9,317,24,8030,2040,207,0,9394,2065
6,10,302,16,8405,2098,205,0,8388,2040
7,0,382,22,6878,2732,206,1,6873,2717
7,1,382,34,8735,2715,242,1,8922,2705
7,2,367,27,9154,2753,248,3,9169,2734
7,3,363,27,9426,2801,237,1,8738,2727
7,4,354,29,8904,2718,223,4,8633,2749
7,5,385,31,6025,2803,216,3,9430,2737
7,6,357,35,8470,2769,242,2,9162,2760
7,7,362,26,8818,2822,230,2,8968,2732
7,8,390,17,9193,2707,229,0,8613,2711
7,9,365,36,8828,2790,215,0,9191,2702
7,10,376,39,8716,2730,238,0,9023,2711
8,0,238,21,5506,1605,134,0,5326,1562
8,1,247,24,6311,1592,126,0,6554,1578
8,2,212,19,6336,1599,132,0,6230,1562
8,3,226,16,6351,1576,147,0,6316,1577
8,4,215,31,6177,1609,142,1,6393,1582
8,5,231,23,4857,1628,125,0,6622,1578
8,6,220,24,5811,1611,133,0,6085,1565
8,7,212,20,6303,1598,145,0,6399,1568
8,8,216,23,6114,1598,139,0,6070,1574
8,9,219,21,6530,1601,138,0,6694,1572
8,10,223,21,6147,1662,146,0,7062,1580
9,0,204,11,5408,1497,139,1,5272,1513
9,1,217,17,5857,1522,124,0,6268,1539
9,2,212,16,5560,1517,136,0,6563,1488
9,3,205,14,6562,1545,133,0,6883,1492
9,4,206,17,6139,1550,133,0,7232,1479
9,5,204,19,5077,1529,127,1,6773,1485
9,6,212,8,5974,1466,150,0,6842,1505
9,7,197,20,6257,1508,141,0,6159,1500
9,8,227,16,6503,1524,131,0,6537,1503
9,9,206,31,6062,1526,136,0,6182,1516
9,10,223,11,6165,1484,156,0,5755,1452
10,0,346,17,6130,2184,199,3,6146,2147
10,1,354,19,7144,2190,202,3,8117,2156
10,2,334,25,7424,2204,222,0,7599,2129
10,3,344,20,8183,2181,221,1,7684,2174
10,4,347,31,7699,2201,224,3,7996,2117
10,5,333,20,5854,2188,204,4,7508,2123
