dataset,best_srs,median_srs,worst_srs,best_arrs,median_arrs,worst_arrs
1,864,1124,1471,212,334,521
2,2171,2444,2818,1140,1379,1562
3,1334,1882,2096,634,841,1102
4,1674,1982,2210,532,742,938
5,2786,3540,3996,2833,3304,3795
6,2754,3364,3843,1555,1721,2110
7,3993,4576,4927,2349,2710,3268
8,1728,2104,2940,370,683,833
9,1451,1640,1958,414,543,584
11,577,807,1058,333,476,562
12,2710,3128,3389,2339,2757,2961
13,1850,2243,2981,654,792,1139
14,1308,1697,1915,537,683,906
15,1334,1882,2096,634,841,1102
16,2289,2944,3487,1349,1497,2006
17,2275,3006,3371,1258,1540,2063
18,376,407,535,259,300,361
19,1816,2247,2614,593,1015,1257
20,3860,4435,5036,2249,2836,3131
21,2183,2537,3121,1109,1323,1526
