dataset,srs_min_violations,srs_mean_violations,srs_max_violations,srs_min_score,srs_mean_score,srs_max_score,arrs_min_violations,arrs_mean_violations,arrs_max_violations,arrs_min_score,arrs_mean_score,arrs_max_score
1,78,108.92,142,1408,2383.27,3246,25,53.14,82,1648,2544.65,3263
2,199,254.33,314,6613,9331.14,12197,139,180.54,226,7693,9667.57,11653
3,156,205.42,257,4885,7072.02,9355,104,145.1,195,5502,7312.34,9152
4,152,197.31,246,4470,6416.32,7857,87,123.95,170,5460,6612.43,7695
5,113,155.68,205,7001,9892.2,11956,91,127.33,169,7885,10093.45,12012
6,252,306.18,366,6722,8529.27,10523,151,197.04,259,7184,8753.49,10198
7,317,375.3,443,6415,8760.0,10343,184,237.11,295,6895,8944.91,10275
8,182,227.36,277,4735,6176.69,7437,97,134.4,177,5086,6351.93,7404
9,164,208.37,252,4645,6200.29,7956,103,140.95,186,4758,6373.61,7730
10,274,327.9,388,5858,7649.94,9145,168,214.87,267,5731,7815.14,9044
11,62,90.26,124,1418,2096.88,2810,20,40.54,66,1571,2196.65,2775
12,183,229.77,285,4405,5502.92,6403,143,181.84,227,4567,5566.98,6426
13,177,220.52,272,5564,7789.27,9400,103,140.72,182,6505,8044.4,9635
14,180,232.39,289,4129,5544.09,6849,119,164.52,213,4504,5707.89,6906
15,156,205.42,257,4885,7072.02,9355,104,145.1,195,5502,7312.34,9152
16,236,291.98,355,5744,7670.69,9138,141,189.91,245,5742,7877.56,9176
17,234,284.58,355,5553,7344.72,9079,136,182.53,232,6085,7550.03,8950
18,72,104.85,148,1731,2350.43,2962,53,80.05,111,1778,2380.67,2908
19,188,233.98,290,4585,6500.23,8421,122,163.4,211,5157,6751.45,8339
20,284,340.97,406,7978,10277.59,12107,176,222.13,278,8843,10535.9,12000
21,220,269.02,327,5512,7413.32,9257,134,178.49,230,5888,7630.04,9309
