seed,violations,score
0,381,6414
1,364,6536
2,371,7087
3,369,7346
4,380,7821
5,380,8364
6,374,7582
7,391,8224
8,387,8173
9,408,8955
10,403,7824
11,377,8351
12,386,8436
13,379,8120
14,344,9177
15,390,9216
16,364,8533
17,377,8526
18,364,8735
19,364,8680
20,363,7573
21,356,8482
22,407,9262
23,377,8468
24,385,8501
25,370,8742
26,389,8812
27,368,8007
28,358,8246
29,356,8532
30,383,9449
31,380,8808
32,368,8648
33,368,9131
34,379,8912
35,385,8813
36,359,9113
37,369,9191
38,383,9101
39,389,8944
40,380,8850
41,377,9262
42,378,8180
43,384,8570
44,370,8946
45,359,9007
46,378,9411
47,384,8767
48,377,9126
49,359,9065
50,410,8571
51,392,9069
52,388,7963
53,381,9142
54,348,8550
55,372,8639
56,377,8729
57,390,8232
58,371,8815
59,375,8625
60,369,8577
61,377,8630
62,391,8610
63,399,8714
64,365,9042
65,391,8740
66,345,8128
67,388,8863
68,389,8536
69,398,8684
70,367,8639
71,386,8670
72,348,8404
73,378,9094
74,357,9007
75,386,8565
76,378,8810
77,371,8341
78,375,8674
79,349,9147
80,365,7857
81,376,8709
82,370,8838
83,369,8825
84,368,8282
85,381,9065
86,348,9085
87,389,9036
88,369,8661
89,387,8723
90,378,8589
91,376,9518
92,373,8947
93,363,8756
94,353,9136
95,368,8848
96,374,8106
97,376,8728
98,370,9516
99,407,8631
100,393,8676
101,375,8955
102,404,8072
103,367,8519
104,375,8781
105,372,8368
106,363,8274
107,367,9168
108,385,8896
109,377,9601
110,364,8607
111,379,8471
112,378,9011
113,371,9293
114,380,8778
115,373,8293
116,364,8978
117,389,8694
118,380,9030
119,386,9327
120,387,8812
121,394,8577
122,350,8641
123,348,8440
124,388,8451
125,380,8718
126,369,8448
127,383,8977
128,388,8189
129,380,8953
130,390,8664
131,378,8730
132,392,8248
133,387,7949
134,383,9005
135,350,9481
136,377,8708
137,359,8713
138,384,8608
139,375,8899
140,378,9194
141,352,8368
142,382,8621
143,365,8570
144,376,8494
145,389,8925
146,385,9417
147,381,9122
148,379,8648
149,367,8612
150,360,8168
151,345,8782
152,362,8915
153,361,8397
154,374,9295
155,374,8745
156,365,8617
157,363,8371
158,382,8791
159,382,8606
160,366,9055
161,363,8821
162,369,8933
163,371,9634
164,367,8830
165,408,8648
166,398,9226
167,366,8956
168,382,9102
169,387,8773
170,371,8992
171,368,9106
172,378,8379
173,374,8272
174,399,8712
175,351,9418
176,375,8244
177,380,8505
178,398,8865
179,387,8732
180,390,8416
181,374,8813
182,365,8596
183,367,8216
184,382,8385
185,385,8784
186,385,9023
187,418,8622
188,383,8183
189,378,8911
190,373,8329
191,375,8805
192,396,8551
193,379,8768
194,376,8091
195,365,8412
196,359,9240
197,369,8331
198,363,8559
199,389,8809
200,372,8648
201,369,8696
202,362,8713
203,359,8782
204,357,8574
205,372,9031
206,383,9025
207,374,9438
208,381,8577
209,387,8542
210,364,8634
211,374,8967
212,369,8923
213,384,9314
214,376,8615
215,388,9076
216,380,8569
217,373,8820
218,370,8460
219,379,8830
220,342,8779
221,356,8386
222,361,9040
223,349,9170
224,363,8852
225,367,8811
226,369,8739
227,357,8820
228,391,8904
229,381,8732
230,376,8028
231,342,8758
232,393,8453
233,386,9124
234,396,9388
235,377,8571
236,386,8874
237,379,9290
238,389,8721
239,381,9045
240,366,8649
241,395,8378
242,399,8701
243,385,8723
244,401,9105
245,390,8806
246,366,9454
247,368,9000
248,361,8364
249,385,9249
250,384,8614
251,376,8482
252,376,8554
253,376,8340
254,371,8551
255,368,9155
256,392,8190
257,373,8430
258,382,8937
259,385,9387
260,403,8371
261,373,9230
262,393,9190
263,376,8151
264,352,8795
265,364,8932
266,385,8883
267,375,8550
268,383,9411
269,363,8505
270,357,9204
271,363,9069
272,340,9123
273,383,8372
274,415,9090
275,365,8589
276,383,8293
277,383,8659
278,382,8252
279,406,9347
280,391,8323
281,392,8494
282,391,8848
283,391,8720
284,377,9043
285,346,8833
