dataset,solution,srs_start,srs_G&Gc=50,srs_G&Gc=1,srs_G&Gc=CS,srs_Geometric,srs_LinearReheat,arrs_start,arrs_G&Gc=50,arrs_G&Gc=1,arrs_G&Gc=CS,arrs_Geometric,arrs_LinearReheat
1,0,13090,1723,1716,10676,1726,1728,7702,300,310,9275,290,305
1,1,14284,1462,1462,11305,1458,1458,6990,236,217,8850,209,221
1,2,14318,2779,2777,11968,2769,2767,6808,236,279,8015,278,257
1,3,13593,1414,1413,9458,1432,1415,6690,159,161,7892,222,172
1,4,12014,1098,1056,9471,1057,1065,7566,240,263,8629,234,236
1,5,14096,1956,1972,11385,1973,1945,7692,230,209,9242,211,213
1,6,13620,2068,2043,11822,2053,2069,8194,341,236,8649,236,238
1,7,12620,1996,1988,9766,1994,2009,7571,380,359,8186,346,340
1,8,13300,2073,2071,11062,2063,2067,7826,330,282,9945,216,225
1,9,13046,864,856,10407,878,872,8509,260,232,7909,238,240
1,10,14723,1059,1036,10751,1042,1055,6751,298,287,7437,271,271
2,0,34097,2504,2474,30092,2351,2391,27063,1672,1591,30500,1490,1443
2,1,35027,3068,3254,32370,2791,2793,27602,1590,1677,31094,1414,1480
2,2,35628,3740,3790,29750,3610,3623,29169,1594,1955,31168,1538,1496
2,3,36170,3493,3485,29501,3298,3295,26634,1611,1707,30668,1509,1479
2,4,35217,3083,3297,33838,2977,2991,28924,1828,1762,31662,1475,1530
2,5,32023,3083,3105,28410,3128,3105,25627,1557,1756,30081,1461,1477
2,6,35713,2610,2400,29520,2365,2367,26435,1569,1531,30287,1531,1476
2,7,34318,3484,3682,30707,3413,3358,28207,1747,1618,27728,1498,1432
2,8,35525,3128,3033,31970,2961,2991,29196,1760,1836,29791,1459,1447
2,9,33372,3535,3518,28005,3346,3409,25841,1507,1741,31029,1563,1462
2,10,35025,3100,2986,29450,2799,2794,27041,1415,1819,31830,1486,1455
3,0,27279,2066,2492,23710,2097,2114,21276,1409,1284,24487,1254,1308
3,1,28713,2504,2721,25300,2467,2514,21606,1484,1530,24460,1289,1260
3,2,25754,2660,2733,24482,2624,2611,20054,1407,1501,22084,1302,1284
3,3,27792,2741,2691,24050,2507,2540,21844,1297,1394,26476,1304,1293
3,4,28231,2261,2331,25499,2132,2139,21365,1282,1381,24398,1318,1321
3,5,26086,2542,2335,23346,2415,2286,21213,1410,1496,25814,1275,1372
3,6,27290,2939,2754,23185,2745,2714,22600,1495,1299,23912,1324,1276
3,7,27615,2924,3089,24013,3027,2932,23066,1484,1493,22746,1256,1297
3,8,28027,3147,3119,24103,3003,2998,21570,1284,1304,25712,1283,1290
3,9,27605,2769,2731,24804,2755,2728,19507,1457,1267,25319,1315,1278
3,10,26998,3198,3013,25234,3022,3037,22052,1532,1465,24367,1282,1281
4,0,27111,3624,3624,22800,3605,3609,20801,1648,1643,24015,1634,1622
4,1,25852,3259,3245,22540,3247,3273,20048,1541,1545,24379,1560,1549
4,2,26896,3258,3259,22391,3249,3280,19281,1645,1739,21419,1625,1636
4,3,27001,3274,3285,22919,3285,3313,19041,1823,1780,23107,1761,1775
4,4,27242,3246,3283,24764,3241,3259,18982,1571,1593,22265,1592,1587
4,5,26165,3218,3218,22729,3193,3232,17851,1563,1553,21719,1564,1588
4,6,25263,2508,2500,24164,2509,2512,19444,1531,1546,20934,1534,1558
4,7,25319,3660,3645,23502,3647,3657,20271,1567,1565,22798,1546,1563
4,8,26958,3476,3481,23401,3499,3522,18980,1694,1611,21428,1585,1610
4,9,26798,3599,3567,23436,3570,3589,17974,1576,1566,22493,1569,1575
4,10,27618,3048,3068,24566,3031,3026,18696,1644,1645,22778,1653,1630
5,0,25154,3422,3372,23360,3044,3002,21396,2900,2844,22129,2605,2406
5,1,24709,3292,3349,21427,3032,3258,24046,4355,4100,21916,3908,3652
5,2,25554,2718,2371,20430,2621,2291,22177,3634,3775,22494,3406,3179
5,3,24600,4291,4077,22610,3951,3774,22997,3299,3134,22706,2822,2894
